Player,Pos,Team,GP,GS,Comp,Inc,Yds,TD,Int,Sks,1st,Att,Yds,TD,1st,Tgt,Rec,Yds,TD,1st,Yds,TD,2PT,Total,Lost,Fan Pts,PPG
J. James,WR,Cin,16,,0,0,0,0,0,0,0,0,0,0,0,60,39,338,3,20,0,0,0,0,0,0,0.0
K. Aiken,TE,Pit,16,,0,0,0,0,0,0,0,0,0,0,0,50,29,328,1,18,0,0,0,0,0,0,0.0
J. Cook,TE, TB,10,,0,0,0,0,0,0,0,0,0,0,0,51,30,377,1,19,0,0,0,1,1,0,0.0
C. Conley,WR,Cin,16,,0,0,0,0,0,0,0,0,0,0,0,69,44,530,0,30,0,0,0,1,0,0,0.0
T. Sharpe,WR,Det,16,,0,0,0,0,0,0,0,1,1,0,0,83,41,522,2,27,0,0,0,0,0,0,0.0
D. Njoku,RB,Chi,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
M. Mitchell,TE, TB,14,,0,0,0,0,0,0,0,0,0,0,0,48,32,401,4,23,0,0,0,0,0,0,0.0
J. McNichols,WR, TB,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
S. Roberts,RB,Ind,16,,0,0,0,0,0,0,0,0,0,0,0,77,38,397,5,22,0,0,2,0,0,0,0.0
E. Engram,WR,Car,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
J. Witten,RB,Pit,16,,0,0,0,0,0,0,0,0,0,0,0,95,69,673,3,33,0,0,0,1,1,0,0.0
A. Gates,RB,Bal,14,,0,0,0,0,0,0,0,0,0,0,0,93,53,548,7,34,0,0,0,1,1,0,0.0
V. Davis,TE,Hou,16,,0,0,0,0,0,0,0,0,0,0,0,59,44,583,2,22,0,0,0,0,0,0,0.0
Q. Enunwa,WR,Atl,16,,0,0,0,0,0,0,0,1,12,0,1,105,58,857,4,37,54,0,0,0,0,0,0.0
R. Tannehill,RB,Det,13,,261,128,2995,19,12,29,132,39,164,1,10,0,0,0,0,0,0,0,1,9,3,0,0.0
A. Hooper,WR,Phi,14,,0,0,0,0,0,0,0,0,0,0,0,27,19,271,3,16,0,0,0,0,0,0,0.0
Z. Miller,TE,LAC,10,,0,0,0,0,0,0,0,0,0,0,0,64,47,486,4,28,0,0,0,0,0,0,0.0
C. Hogan,WR,Buf,15,,0,0,0,0,0,0,0,3,9,0,0,58,38,680,4,23,0,0,0,1,1,0,0.0
R. Mathews,RB,NYG,13,,0,0,0,0,0,0,0,155,661,8,38,14,13,115,1,7,0,0,2,3,2,0,0.0
C. Kupp,RB,Jax,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
C. Clay,TE,Atl,15,,0,0,0,0,0,0,0,0,0,0,0,87,57,552,4,22,0,0,0,0,0,0,0.0
T. Benjamin,RB, KC,14,,0,1,0,0,0,0,0,2,-3,0,0,75,47,677,4,26,59,0,0,3,3,0,0.0
A. Boldin,WR,LAC,16,,0,0,0,0,0,0,0,0,0,0,0,95,67,584,8,41,0,0,0,0,0,0,0.0
M. Floyd,RB, SF,15,,0,0,0,0,0,0,0,0,0,0,0,76,37,488,5,31,0,0,0,0,0,0,0.0
E. Rogers,RB,Den,13,,0,0,0,0,0,0,0,1,6,0,0,66,48,594,3,24,45,0,0,0,0,0,0.0
A. Derby,WR,Min,6,,0,0,0,0,0,0,0,0,0,0,0,20,16,160,0,7,0,0,0,1,1,0,0.0
A. Seferian-Jenkins,WR,LAR,9,,0,0,0,0,0,0,0,0,0,0,0,20,13,154,1,9,0,0,0,0,0,0,0.0
P. Richardson,RB,LAC,15,,0,0,0,0,0,0,0,1,5,0,1,36,21,288,1,17,105,0,0,0,0,0,0.0
A. Wilson,WR,Ind,16,,0,0,0,0,0,0,0,2,50,1,1,51,31,279,2,11,13,0,0,0,0,0,0.0
T. Higbee,TE,Oak,16,,0,0,0,0,0,0,0,0,0,0,0,29,11,85,1,3,0,0,0,0,0,0,0.0
K. Wright,WR, KC,11,,0,0,0,0,0,0,0,1,15,0,1,43,29,416,3,18,32,0,0,0,0,0,0.0
J. Gordon,WR,Ten,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
K. Golladay,TE,Cle,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
L. Kendricks,RB, TB,16,,0,0,0,0,0,0,0,0,0,0,0,87,50,499,2,22,0,0,0,1,1,0,0.0
D. Williams,WR,Oak,9,,0,0,0,0,0,0,0,98,343,4,20,27,18,118,2,6,0,0,0,0,0,0,0.0
C. Kaepernick,TE,Dal,12,,196,135,2241,16,4,36,101,69,468,2,28,0,0,0,0,0,0,0,1,9,3,0,0.0
R. Jennings,RB,Phi,13,,0,0,0,0,0,0,0,181,593,3,29,42,35,201,1,8,0,0,0,1,0,0,0.0
L. Green,TE,Was,6,,0,0,0,0,0,0,0,0,0,0,0,34,18,304,1,12,0,0,0,0,0,0,0.0
V. McDonald,TE,LAR,11,,0,0,0,0,0,0,0,0,0,0,0,45,24,391,4,13,0,0,0,0,0,0,0.0
G. Barnidge,TE,Buf,16,,0,0,0,0,0,0,0,0,0,0,0,82,55,612,2,34,0,0,1,0,0,0,0.0
J. Tamme,RB,Car,8,,0,0,0,0,0,0,0,0,0,0,0,31,22,210,3,13,0,0,0,0,0,0,0.0
C. Michael,RB,Chi,15,,0,0,0,0,0,0,0,148,583,7,32,29,22,107,1,4,64,0,0,2,1,0,0.0
D. Pitta,WR,LAC,16,,0,0,0,0,0,0,0,0,0,0,0,121,86,729,2,37,0,0,0,1,1,0,0.0
E. Royal,RB,Car,9,,0,0,0,0,0,0,0,0,0,0,0,43,33,369,2,16,166,1,0,1,0,0,0.0
G. Celek,TE, SF,16,,0,0,0,0,0,0,0,0,0,0,0,50,29,350,3,20,0,0,0,2,1,0,0.0
C. Walford,WR,Sea,15,,0,0,0,0,0,0,0,0,0,0,0,52,33,359,3,19,0,0,0,0,0,0,0.0
R. Griffin,WR,Was,16,,0,0,0,0,0,0,0,0,0,0,0,74,50,442,2,19,0,0,0,1,1,0,0.0
A. Humphries,TE,NYG,15,,0,0,0,0,0,0,0,5,18,0,0,83,55,622,2,27,284,0,1,0,0,0,0.0
J. Forsett,TE,Chi,9,,0,0,0,0,0,0,0,87,291,1,10,27,20,85,0,4,0,0,0,2,1,0,0.0
D. Heyward-Bey,RB,Ari,10,,0,0,0,0,0,0,0,1,60,1,1,19,6,114,2,4,0,0,0,0,0,0,0.0
C. Gillmore,TE,Ari,7,,0,0,0,0,0,0,0,0,0,0,0,14,8,71,1,5,0,0,0,0,0,0,0.0
B. Gabbert,RB,Phi,6,,91,69,925,5,6,11,51,40,173,2,15,1,1,-16,0,0,0,0,0,0,0,0,0.0
R. Rodgers,RB,Mia,16,,0,0,0,0,0,0,0,0,0,0,0,47,30,271,2,14,0,0,0,0,0,0,0.0
D. Sims,WR,Chi,14,,0,0,0,0,0,0,0,0,0,0,0,35,26,256,4,14,0,0,0,0,0,0,0.0
C. Uzomah,RB,LAC,10,,0,0,0,0,0,0,0,0,0,0,0,38,25,234,1,14,0,0,0,0,0,0,0.0
W. Tye,WR,Pit,16,,0,0,0,0,0,0,0,0,0,0,0,70,48,395,1,16,0,0,0,0,0,0,0.0
K. Williams,WR,Hou,10,,0,0,0,0,0,0,0,18,157,2,8,2,1,6,0,0,0,0,0,0,0,0,0.0
J. Starks,WR, TB,9,,0,0,0,0,0,0,0,63,145,0,9,25,19,134,2,4,0,0,0,1,0,0,0.0
D. Amendola,TE,Oak,12,,0,0,0,0,0,0,0,0,0,0,0,29,23,243,4,14,250,0,0,1,1,0,0.0
B. Watson,WR,NYJ,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
V. Jackson,RB,Cle,5,,0,0,0,0,0,0,0,0,0,0,0,32,15,173,0,8,0,0,0,0,0,0,0.0
G. Allison,WR,Chi,10,,0,0,0,0,0,0,0,0,0,0,0,22,12,202,2,11,0,0,0,0,0,0,0.0
J. Gresham,WR,Bal,16,,0,0,0,0,0,0,0,0,0,0,0,61,37,391,2,19,0,0,0,1,0,0,0.0
J. Hunter,WR,Pit,12,,0,0,0,0,0,0,0,0,0,0,0,24,10,189,4,10,0,0,0,0,0,0,0.0
V. Cruz,QB,Hou,15,,0,0,0,0,0,0,0,0,0,0,0,72,39,586,1,25,0,0,0,1,1,0,0.0
C. Johnson,TE, GB,4,,0,0,0,0,0,0,0,25,95,1,5,1,0,0,0,0,0,0,0,0,0,0,0.0
S. DeValve,TE,LAR,12,,0,0,0,0,0,0,0,0,0,0,0,12,10,127,2,7,13,0,0,0,0,0,0.0
D. Green-Beckham,WR,Dal,15,,0,0,0,0,0,0,0,0,0,0,0,74,36,392,2,25,0,0,0,0,0,0,0.0
J. Kearse,TE,Chi,16,,0,0,0,0,0,0,0,0,0,0,0,89,41,510,1,24,0,0,0,0,0,0,0.0
S. Coates,WR,Buf,14,,0,0,0,0,0,0,0,4,14,0,1,49,21,435,2,16,150,0,0,0,0,0,0.0
M. Goodwin,WR,Phi,15,,0,0,0,0,0,0,0,0,0,0,0,68,29,431,3,20,0,0,0,0,0,0,0.0
D. Fells,RB,LAR,14,,0,0,0,0,0,0,0,0,0,0,0,18,14,154,1,7,0,0,0,0,0,0,0.0
D. Brown,WR,NYJ,6,,0,0,0,0,0,0,0,0,0,0,0,20,16,124,1,8,0,0,0,0,0,0,0.0
E. Swoope,WR,Ten,16,,0,0,0,0,0,0,0,0,0,0,0,22,15,297,1,12,0,0,0,0,0,0,0.0
X. Grimble,RB, NO,13,,0,0,0,0,0,0,0,0,0,0,0,21,11,118,2,8,0,0,0,0,0,0,0.0
V. Green,WR, GB,12,,0,0,0,0,0,0,0,0,0,0,0,37,22,237,1,13,0,0,0,0,0,0,0.0
B. Quick,TE,Den,16,,0,0,0,0,0,0,0,0,0,0,0,77,41,564,3,22,0,0,0,0,0,0,0.0
M. Moore,RB,Was,4,,55,32,721,8,3,1,35,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
L. Donnell,TE,NYG,14,,0,0,0,0,0,0,0,0,0,0,0,22,15,92,1,3,0,0,0,1,1,0,0.0
M. Rivera,RB,Sea,13,,0,0,0,0,0,0,0,0,0,0,0,25,18,192,1,11,0,0,0,0,0,0,0.0
L. Toilolo,TE,Bal,16,,0,0,0,0,0,0,0,0,0,0,0,19,13,264,2,11,0,0,0,0,0,0,0.0
J. Hill,RB,NYG,9,,0,0,0,0,0,0,0,0,0,0,0,22,15,149,1,6,0,0,0,0,0,0,0.0
R. Randle,RB,Pit,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
L. Willson,RB,NYJ,11,,0,0,0,0,0,0,0,0,0,0,0,21,15,129,2,7,0,0,0,0,0,0,0.0
J. Brown,TE,Jax,7,,0,0,0,0,0,0,0,0,0,0,0,23,11,187,1,6,0,0,0,0,0,0,0.0
B. Osweiler,WR,Car,15,,301,209,2957,15,16,27,153,30,131,2,13,1,1,-14,0,0,0,0,0,5,1,0,0.0
S. Johnson,WR,Cle,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
T. Burton,TE, NO,15,,0,0,0,0,0,0,0,0,0,0,0,60,37,327,1,20,0,0,0,0,0,0,0.0
J. Heuerman,RB,Sea,12,,0,0,0,0,0,0,0,0,0,0,0,17,9,141,0,7,0,0,0,0,0,0,0.0
A. Fasano,WR,Atl,16,,0,0,0,0,0,0,0,0,0,0,0,14,8,83,2,6,0,0,0,0,0,0,0.0
B. Celek,RB,Hou,16,,0,0,0,0,0,0,0,0,0,0,0,19,14,155,0,8,0,0,0,1,0,0,0.0
