Player,Pos,Team,GP,GS,Comp,Inc,Yds,TD,Int,Sks,1st,Att,Yds,TD,1st,Tgt,Rec,Yds,TD,1st,Yds,TD,2PT,Total,Lost,Fan Pts,PPG
E. Lacy,RB, NO,5,,0,0,0,0,0,0,0,71,360,0,15,7,4,28,0,1,0,0,0,0,0,0,0.0
M. Ingram,RB, NO,16,,0,0,0,0,0,0,0,205,1043,6,49,58,46,319,4,18,0,0,2,2,2,0,0.0
C. Anderson,RB,Atl,7,,0,0,0,0,0,0,0,110,437,4,22,24,16,128,1,6,0,0,0,0,0,0,0.0
M. Gillislee,RB, GB,15,,0,0,0,0,0,0,0,101,577,8,39,11,9,50,1,1,19,0,0,0,0,0,0.0
A. Peterson,RB, NE,3,,0,0,0,0,0,0,0,37,72,0,3,6,3,8,0,0,0,0,0,1,1,0,0.0
D. Cook,QB,Mia,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
T. Coleman,RB,Min,13,,0,0,0,0,0,0,0,118,520,8,24,40,31,421,3,16,0,0,0,1,0,0,0.0
T. Montgomery,RB,Car,15,,0,0,0,0,0,0,0,77,457,3,20,56,44,348,0,19,366,0,0,2,1,0,0.0
C. McCaffrey,RB,Cin,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
J. Mixon,QB,Den,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
S. Perine,RB,Phi,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
L. Blount,RB,Was,16,,0,0,0,0,0,0,0,299,1161,18,67,8,7,38,0,1,0,0,0,2,1,0,0.0
T. Siemian,RB, TB,14,,289,197,3401,18,10,31,155,28,57,0,6,0,0,0,0,0,0,0,1,4,2,0,0.0
D. Martin,QB,Cle,8,,0,0,0,0,0,0,0,144,421,3,23,16,14,134,0,4,0,0,0,1,1,0,0.0
F. Gore,RB,Ind,16,,0,0,0,0,0,0,0,263,1025,4,50,47,38,277,4,14,0,0,0,2,1,0,0.0
A. Abdullah,RB,Det,2,,0,0,0,0,0,0,0,18,101,0,6,5,5,57,1,4,0,0,0,0,0,0,0.0
L. Murray,RB,Was,14,,0,0,0,0,0,0,0,195,788,12,52,43,33,264,0,11,0,0,0,2,1,0,0.0
D. Johnson Jr.,RB,Cle,16,,0,1,0,0,0,0,0,73,358,1,17,74,53,514,0,24,131,0,0,2,1,0,0.0
R. Kelley,RB,Bal,15,,0,0,0,0,0,0,0,168,704,6,29,18,12,82,1,6,0,0,0,0,0,0,0.0
T. West,RB,Sea,16,,0,0,0,0,0,0,0,193,774,5,35,45,34,236,1,11,0,0,0,2,0,0,0.0
J. Stewart,RB,Car,13,,0,0,0,0,0,0,0,218,824,9,47,21,8,60,0,1,0,0,0,3,2,0,0.0
M. Forte,RB,NYJ,14,,0,0,0,0,0,0,0,218,813,7,35,43,30,263,1,10,0,0,0,1,1,0,0.0
D. Henry,RB,Ten,15,,0,0,0,0,0,0,0,110,490,5,29,15,13,137,0,6,0,0,0,0,0,0,0.0
J. Jones,RB,Sea,14,,0,0,0,0,0,0,0,0,0,0,0,129,83,1409,6,64,0,0,0,0,0,0,0.0
O. Beckham Jr.,WR,NYG,16,,0,0,0,0,0,1,0,1,9,0,0,169,101,1367,10,65,66,0,0,2,1,0,0.0
A. Brown,WR,Atl,15,,0,0,0,0,0,0,0,3,9,0,1,154,106,1284,12,64,163,0,0,0,0,0,0.0
J. Hill,WR,Pit,15,,0,0,0,0,0,0,0,222,839,9,42,27,21,174,0,6,0,0,0,0,0,0,0.0
M. Evans,RB,Min,16,,0,0,0,0,0,0,0,0,0,0,0,173,96,1321,12,81,0,0,2,0,0,0,0.0
D. Bryant,RB,Cin,13,,1,0,10,1,0,0,1,0,0,0,0,96,50,796,8,38,0,0,0,1,1,0,0.0
A. Green,WR, TB,10,,0,0,0,0,0,0,0,0,0,0,0,100,66,964,4,41,0,0,0,0,0,0,0.0
T. Hill,WR,Dal,16,,0,0,0,0,0,0,0,24,267,3,10,83,61,593,6,31,976,3,0,1,1,0,0.0
J. Nelson,WR,Cin,16,,0,0,0,0,0,0,0,0,0,0,0,152,97,1257,14,62,0,0,0,1,1,0,0.0
J. Richard,WR, KC,16,,0,0,0,0,0,0,0,83,491,1,14,39,29,194,2,8,708,0,0,0,0,0,0.0
J. Williams,WR, GB,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
T. Austin,RB,Oak,15,,0,0,0,0,0,0,0,28,159,1,7,106,58,509,3,25,369,0,0,2,1,0,0.0
T. Hilton,RB, GB,16,,0,0,0,0,0,0,0,0,0,0,0,155,91,1448,6,66,10,0,1,0,0,0,0.0
G. Bernard,RB,Den,10,,0,0,0,0,0,0,0,91,337,2,15,51,39,336,1,16,0,0,0,1,1,0,0.0
J. Charles,RB,Cin,3,,0,0,0,0,0,0,0,12,40,1,3,3,2,14,0,1,0,0,0,0,0,0,0.0
M. Thomas,WR, NO,15,,0,0,0,0,0,0,0,0,0,0,0,121,92,1137,9,62,0,0,0,2,2,0,0.0
A. Cooper,WR,Oak,16,,0,0,0,0,0,0,0,1,0,0,0,132,83,1153,5,47,0,0,2,2,0,0,0.0
D. Baldwin,WR,Sea,16,,1,0,15,1,0,0,1,3,2,0,0,125,94,1128,7,52,0,0,0,1,0,0,0.0
D. Sproles,RB,Phi,15,,0,0,0,0,0,0,0,94,438,2,22,71,52,427,2,19,243,0,0,0,0,0,0.0
S. Vereen,RB,NYG,5,,0,0,0,0,0,0,0,33,158,1,8,19,11,94,0,4,0,0,0,2,2,0,0.0
T. Riddick,RB,Det,10,,0,0,0,0,0,0,0,92,357,1,19,67,53,371,5,20,0,0,0,0,0,0,0.0
B. Cooks,QB,Den,16,,0,0,0,0,0,0,0,6,30,0,1,117,78,1173,8,45,2,0,0,1,0,0,0.0
C. Prosise,RB,Sea,6,,0,0,0,0,0,0,0,30,172,1,3,19,17,208,0,8,0,0,0,0,0,0,0.0
T. Pryor Sr.,WR,Was,16,,5,4,41,0,0,1,1,8,21,1,2,140,77,1007,4,48,0,0,1,1,0,0,0.0
T. Lockett,WR,Ind,15,,0,0,0,0,0,0,0,6,114,1,4,66,41,597,1,22,849,0,0,0,0,0,0.0
C. Thompson,WR,Sea,16,,0,0,0,0,0,0,0,68,356,3,16,62,49,349,2,18,360,0,0,2,1,0,0.0
R. Gronkowski,RB,Was,8,,0,0,0,0,0,0,0,0,0,0,0,38,25,540,3,19,0,0,0,0,0,0,0.0
